[ 2026-02-21 01:50:16 ] INFO | root | Successfully fetched data from MongoDB
[ 2026-02-21 01:50:16 ] INFO | root | Entered split_data_as_train_test method of DataIngestion class
[ 2026-02-21 01:50:16 ] INFO | root | Performed train-test split on the dataframe
[ 2026-02-21 01:50:16 ] INFO | root | Exporting train and test datasets to CSV files
[ 2026-02-21 01:50:16 ] INFO | root | Exported train and test datasets successfully
[ 2026-02-21 01:50:16 ] INFO | root | Exited split_data_as_train_test method of DataIngestion class
[ 2026-02-21 01:50:16 ] INFO | root | Train-test split completed
[ 2026-02-21 01:50:16 ] INFO | root | Data ingestion artifact created: DataIngestionArtifact(trained_file_path='artifact\\data_ingestion\\ingested\\train.csv', test_file_path='artifact\\data_ingestion\\ingested\\test.csv')
[ 2026-02-21 01:50:16 ] INFO | root | Exited initiate_data_ingestion method of DataIngestion class
[ 2026-02-21 01:50:16 ] INFO | root | Successfully obtained train and test datasets
[ 2026-02-21 01:50:16 ] INFO | root | Exited start_data_ingestion method of TrainPipeline class
[ 2026-02-21 01:50:16 ] INFO | root | Entered start_data_validation method of TrainPipeline class
[ 2026-02-21 01:50:16 ] INFO | heart_failure_logger | Reading YAML file: config\schema.yaml
[ 2026-02-21 01:50:16 ] INFO | heart_failure_logger | YAML file read successfully
[ 2026-02-21 01:50:16 ] INFO | root | Starting Heart Dataset Data Validation
[ 2026-02-21 01:50:16 ] INFO | root | Required number of columns present: [False]
[ 2026-02-21 01:50:16 ] INFO | root | Required number of columns present: [False]
[ 2026-02-21 01:50:16 ] INFO | root | Data Validation Artifact: DataValidationArtifact(validation_status=False, message='Training dataframe column mismatch. Test dataframe column mismatch. ', drift_report_file_path='artifact\\data_validation\\drift_report\\report.yaml')
[ 2026-02-21 01:50:16 ] INFO | root | Data validation completed successfully
[ 2026-02-21 01:50:16 ] INFO | root | Exited start_data_validation method of TrainPipeline class
